State,Revenue District,Centre,Capacity completed but some minor ancillary works are pending,Capacity completed,Total Completed
Punjab,Amritsar,Beas,NA,32300,32300
Punjab,Amritsar,Chheratta,NA,120725,120725
Punjab,Amritsar,Chheratta,NA,5000,5000
Punjab,Amritsar,Chheratta,NA,32850,32850
Punjab,Amritsar,Jandiala,NA,82500,82500
Punjab,Amritsar,Taran taran,NA,111400,111400
Punjab,Barnala,Barnala,NA,30000,30000
Punjab,Barnala,Barnala,NA,62500,62500
Punjab,Bathinda,Bhatinda,NA,54900,54900
Punjab,Bathinda,Bhatinda,NA,35000,35000
Punjab,Bathinda,Goniana,NA,43000,43000
Punjab,Bathinda,Maur Mandi,NA,57500,57500
Punjab,Bathinda,Raman,NA,100700,100700
Punjab,Bathinda,Rampurphool,NA,127530,127530
Punjab,F.G. Sahib,Mandi Gobindgarh,NA,5000,5000
Punjab,F.G. Sahib,Mandi Gobindgarh,NA,6200,6200
Punjab,F.G. Sahib,Sirhind,NA,53700,53700
Punjab,Faridkot,Jaitu,NA,39500,39500
Punjab,Faridkot,Kotkapura,NA,69334,69334
Punjab,Faridkot,Faridkot,NA,71700,71700
Punjab,Faridkot,Faridkot,NA,10800,10800
Punjab,Faridkot,Gidderbha,NA,82500,82500
Punjab,Ferozepur,Abohar,NA,197800,197800
Punjab,Ferozepur,Fazilka,NA,143800,143800
Punjab,Ferozepur,Firozpur,NA,55700,55700
Punjab,Ferozepur,Firozpur,NA,50000,50000
Punjab,Ferozepur,Guruharsahai,NA,46700,46700
Punjab,Ferozepur,Makhu,NA,79100,79100
Punjab,Ferozepur,Talwandi Bhai,NA,32300,32300
Punjab,Gurdaspur,Gurdaspur,NA,10000,10000
Punjab,Gurdaspur,Gurdaspur,NA,3900,3900
Punjab,Gurdaspur,Dhariwal,NA,21500,21500
Punjab,Jalandhar,Nakodar,NA,13850,13850
Punjab,Jalandhar,Nakodar,NA,22050,22050
Punjab,Jalandhar,Nawasahar,NA,12800,12800
Punjab,Jalandhar,Nawasahar,NA,23100,23100
Punjab,Jalandhar,Nurmahal,NA,16550,16550
Punjab,Jalandhar,Nurmahal,NA,15750,15750
Punjab,Jalandhar,Phillaur,NA,46700,46700
Punjab,Jalandhar,Shahkot,NA,35900,35900
Punjab,Kapurthala,Kapurthala,NA,33480,33480
Punjab,Kapurthala,Kapurthala,NA,51307,51307
Punjab,Kapurthala,Phagwara,NA,14600,14600
Punjab,Kapurthala,S. P. Lodhi,NA,14300,14300
Punjab,Ludhiana,Jagraon,NA,35000,35000
Punjab,Ludhiana,Mullanpur,NA,32600,32600
Punjab,Ludhiana,Mullanpur,NA,17700,17700
Punjab,Mansa,Bareta,NA,50000,50000
Punjab,Mansa,Mansa,NA,48300,48300
Punjab,Mansa,Mansa,NA,1100,1100
Punjab,Mansa,Budhlada,NA,133000,133000
Punjab,Moga,Ajitwal,NA,74000,74000
Punjab,Moga,Moga,NA,185520,185520
Punjab,Moga,Moga,NA,15850,15850
Punjab,Muktsar,Malout,NA,197500,197500
Punjab,Muktsar,Muktsar,NA,222900,222900
Punjab,Nawanshehar,Banga,NA,10200,10200
Punjab,Patiala,Nabha,NA,120800,120800
Punjab,Patiala,Patiala,NA,220000,220000
Punjab,Ropar,Kurali,NA,5000,5000
Punjab,Ropar,Ropar,NA,5000,5000
Punjab,Ropar,Morinda,NA,10000,10000
Punjab,Sangrur,Jakhal,NA,143840,143840
Punjab,Sangrur,Malerkotla,NA,57650,57650
Punjab,Sangrur,Dhuri,NA,67939,67939
Punjab,Sangrur,Ahmedgarh,NA,20500,20500
Punjab,Sangrur,Ahmedgarh,NA,10000,10000
Punjab,Sangrur,Ahmedgarh,NA,1800,1800
Punjab,Sangrur,Bhuchhu,NA,75500,75500
Punjab,Sangrur,Lehragaga,NA,46700,46700
Punjab,Sangrur,Patti,NA,244500,244500
Punjab,Sangrur,Sangrur,NA,8350,8350
Punjab,Sangrur,Sangrur,NA,16500,16500
Punjab,Sangrur,Sunam,NA,102200,102200
Punjab,Sangrur,Sunam,NA,12750,12750
Punjab,Sangrur,Tapa,NA,46700,46700
Total,Total,Total,NA,4415225,4415225
Uttar Pradesh,Allahabad,Allahabad,NA,4000,4000
Uttar Pradesh,Auria,Auria,NA,NA,NA
Uttar Pradesh,Azamgarh,Azamgarh,NA,75000,75000
Uttar Pradesh,Badaun,Badaun,NA,49080,49080
Uttar Pradesh,Balia,Balia,NA,15000,15000
Uttar Pradesh,Balrampur,Balrampur,NA,15000,15000
Uttar Pradesh,Balrampur,Balrampur,NA,5000,5000
Uttar Pradesh,Banda,Banda,NA,20000,20000
Uttar Pradesh,Barabanki,Barabanki,NA,6680,6680
Uttar Pradesh,Bareilly,Bareilly,NA,95000,95000
Uttar Pradesh,Behraich,Behraich,NA,80000,80000
Uttar Pradesh,C.S. M. Nagar,C.S. M. Nagar,NA,31000,31000
Uttar Pradesh,Chitrakoot,Chitrakoot,NA,8000,8000
Uttar Pradesh,Farrukhabad,Farrukhabad,NA,5000,5000
Uttar Pradesh,Farrukhabad,Farukhabad,NA,10000,10000
Uttar Pradesh,G. B. Nagar,G. B. Nagar,NA,10000,10000
Uttar Pradesh,Gazipur,Gazipur,NA,10000,10000
Uttar Pradesh,Gonda,Gonda,NA,35000,35000
Uttar Pradesh,Hardoi,Hardoi,NA,7500,7500
Uttar Pradesh,Hardoi,Hardoi,NA,15000,15000
Uttar Pradesh,Hardoi,Hardoi,NA,2200,2200
Uttar Pradesh,Jhansi,Jhansi,NA,15000,15000
Uttar Pradesh,Kausambi,Kausambi,NA,10000,10000
Uttar Pradesh,Kushinagar,Kushinagar,NA,90000,90000
Uttar Pradesh,Lakhimpur Kheri,Lakhimpur Kheri,NA,75000,75000
Uttar Pradesh,Lalitpur,Lalitpur,NA,15000,15000
Uttar Pradesh,Maharajganj,Maharajganj,NA,50000,50000
Uttar Pradesh,Mahoba,Mahoba,NA,15000,15000
Uttar Pradesh,Mau,Mau,NA,20000,20000
Uttar Pradesh,Mirzapur,Mirzapur,NA,40000,40000
Uttar Pradesh,Pilibhit,Pilibhit,NA,90000,90000
Uttar Pradesh,Pratapgarh,Pratapgarh,NA,5000,5000
Uttar Pradesh,Rai Bareilly,Rai Bareilly,NA,2000,2000
Uttar Pradesh,S K Nagar,S K Nagar,NA,5000,5000
Uttar Pradesh,Shahjahanpur,Shahjahanpur,NA,86000,86000
Uttar Pradesh,Shahjahanpur,Shahjahanpur,NA,8000,8000
Uttar Pradesh,Shrawasti,Shrawasti,NA,10000,10000
Uttar Pradesh,Siddharth Nagar,Siddharth Nagar,NA,55000,55000
Uttar Pradesh,Sitapur,Sitapur,NA,60000,60000
Uttar Pradesh,Sultanpur,Sultanpur,NA,10000,10000
Uttar Pradesh,Sultanpur (Jaferganj),Sultanpur (Jaferganj),NA,2000,2000
Uttar Pradesh,Firozabad,Firozabad,NA,10000,10000
Uttar Pradesh,Etah,Etah,NA,10000,10000
Uttar Pradesh,Bulandshahar,Bulandshahar,NA,10000,10000
Uttar Pradesh,Banda,Banda,NA,5000,5000
Uttar Pradesh,Etawah,Etawah,NA,10000,10000
Uttar Pradesh,Farrukhabad,Farrukhabad,NA,5000,5000
Uttar Pradesh,Sitapur,Sitapur,NA,10000,10000
Uttar Pradesh,Hardoi,Hardoi,NA,11667,11667
Total,Total,Total,NA,1233127,1233127
Haryana,Ambala,Ambala,NA,55000,55000
Haryana,Bhiwani,Bhiwani,NA,27500,27500
Haryana,Faridabad,Palwal,NA,17392,17392
Haryana,Faridabad,Palwal,NA,115000,115000
Haryana,Fatehabad,Tohana,NA,5000,5000
Haryana,Fatehabad,Tohana,NA,5000,5000
Haryana,Fatehabad,Tohana (Fatehabad),NA,10000,10000
Haryana,Fatehabad,Tohana,NA,104630,104630
Haryana,Fatehabad,Bhattu,NA,67100,67100
Haryana,Fatehabad,Bhattu,NA,121030,121030
Haryana,Fatehabad,Bhattu,NA,61670,61670
Haryana,Fatehabad,Jakhal,NA,10000,10000
Haryana,Fatehabad,Jakhal,NA,50960,50960
Haryana,Hisar,Adampur,NA,70000,70000
Haryana,Hisar,Barwala,NA,33936,33936
Haryana,Hisar,Barwala,NA,176064,176064
Haryana,Hisar,Hansi,NA,29418,29418
Haryana,Hisar,Hansi,NA,90000,90000
Haryana,Hisar,Hissar,NA,35000,35000
Haryana,Jind,Jind,NA,20000,20000
Haryana,Jind,Jind,NA,90000,90000
Haryana,Jind,Narwana,NA,102700,102700
Haryana,Jind,Safidon,NA,114440,114440
Haryana,Jind,Uchana,NA,5000,5000
Haryana,Jind,Uchana,NA,112270,112270
Haryana,Kaithal,Kaithal,NA,100000,100000
Haryana,Kaithal,Dhand,NA,136970,136970
Haryana,Karnal,Karnal,NA,106275,106275
Haryana,Karnal,Karnal,NA,23725,23725
Haryana,Karnal,Taraori,NA,19600,19600
Haryana,Karnal,Taraori,NA,54560,54560
Haryana,Panipat,Panipat,NA,115040,115040
Haryana,Panipat,Panipat,NA,11250,11250
Haryana,Rohtak,Rohtak,NA,111700,111700
Haryana,Rohtak,Rohtak,NA,33350,33350
Haryana,Sonepat,Sonepat,NA,39200,39200
Haryana,Sonepat,Sonepat,NA,50740,50740
Haryana,Sonepat,Gohana,NA,80151,80151
Haryana,Sirsa,Dabwali,NA,210000,210000
Haryana,Sirsa,Ellenabad,NA,30000,30000
Haryana,Sirsa,Ellenabad,NA,164450,164450
Haryana,Sirsa,Kalanwali,NA,90000,90000
Haryana,Sirsa,Kalanwali,NA,48870,48870
Haryana,Sirsa,Sirsa,NA,45575,45575
Haryana,Sirsa,Sirsa (Panniwala),NA,118740,118740
Haryana,Sirsa,Sirsa,NA,168653,168653
Haryana,Kurukshetra,Kurukshetra (Pipali),NA,7500,7500
Haryana,Kurukshetra,Kurukshetra,NA,52500,52500
Haryana,Kurukshetra,Shahbad,NA,70000,70000
Haryana,Yamuna Nagar,Jagdhari,NA,6670,6670
Haryana,Yamuna Nagar,Jagadhari,NA,32000,32000
Total,Total,Total,NA,3456629,3456629
Rajasthan,Banswara,Banswara,NA,10000,10000
Rajasthan,Banswara,Banswara,NA,5000,5000
Rajasthan,Barmer,Barmer,NA,5000,5000
Rajasthan,Barmer,Barmer,NA,15000,15000
Rajasthan,Bhilwara,Bhilwara,NA,25000,25000
Rajasthan,Churu,Churu,NA,18000,18000
Rajasthan,Dungarpur,Dungarpur,NA,40000,40000
Rajasthan,Jalore,Jalore,NA,5000,5000
Rajasthan,Jhalawar,Jhalawar,NA,5000,5000
Rajasthan,Jhalawar,Jhalawar,NA,7500,7500
Rajasthan,Karoli,Karoli,NA,10000,10000
Rajasthan,Pali,Pali,NA,5000,5000
Rajasthan,Pratapgarh,Pratapgarh,NA,17500,17500
Rajasthan,Rajsamand,Rajsamand,40000,NA,40000
Rajasthan,Sirohi,Sirohi,12000,NA,12000
Total,Total,Total,52000,168000,220000
Himachal Pradesh,Kangara,Dehra,NA,2500,2500
Himachal Pradesh,Kangara,Ranital,NA,5000,5000
Himachal Pradesh,Mandi,Sarkaghat,5000,NA,5000
Himachal Pradesh,Sirmaur,Nahan,NA,11670,11670
Total,Total,Total,5000,19170,24170
West Bengal,East Midnapur,Tamluk,NA,20000,20000
West Bengal,East Midnapur,Egra,NA,10000,10000
West Bengal,West Midnapur,Kharagpur,NA,3600,3600
West Bengal,West Midnapur,C.K.Road,NA,26500,26500
West Bengal,Murshidabad,Behrampore,NA,11600,11600
West Bengal,Murshidabad,Sargachi,NA,2400,2400
West Bengal,Howrah,Ulberia,NA,10270,10270
West Bengal,Jalpaiguri,Raninagar,NA,15000,15000
West Bengal,Malda,Malda,NA,7400,7400
West Bengal,Burdwan,Memari,NA,5000,5000
West Bengal,Burdwan,Guskara,NA,5000,5000
West Bengal,Burdwan,Monteshwar,NA,5000,5000
West Bengal,Burdwan,Ketugram,NA,5000,5000
West Bengal,Burdwan,Bhatar,NA,5000,5000
West Bengal,Birbhum,Bolepur,NA,5000,5000
West Bengal,Birbhum,Sainthia,NA,5000,5000
West Bengal,24-PGS (North),Basirhat,NA,5000,5000
Total,Total,Total,NA,146770,146770
Bihar,Bhojpur,Arrah,NA,5000,5000
Bihar,Begusarai,Begusarai,NA,15000,15000
Bihar,Begusarai,Begusarai,NA,5000,5000
Bihar,Patna,Bihta,NA,5000,5000
Bihar,Saran,Chhapra,NA,10000,10000
Bihar,Khagiriya,Khagiriya,NA,10000,10000
Bihar,Khagiriya,Khagiriya,10000,NA,10000
Bihar,E. Champaran,Motihari,NA,5000,5000
Bihar,E. Champaran,Motihari,NA,20000,20000
Bihar,Samastipur,Samastipur,NA,10000,10000
Bihar,Rohtas,Sasaram,NA,5000,5000
Bihar,Bhagalpur,Munger,NA,10000,10000
Bihar,W.Champaran,Bettiah,NA,20000,20000
Bihar,Kaimur,Mohaniya,NA,15000,15000
Total,Total,Total,10000,135000,145000
Odisha,Bhadarak,Bhadarak,NA,10000,10000
Odisha,Bolangir,Bolangir,NA,20000,20000
Odisha,Boudh,Boudh,NA,5000,5000
Odisha,Boudh,Charichak,NA,5000,5000
Odisha,Puri,Brahmagiri,NA,5000,5000
Odisha,Puri,Puri-Nimapara,NA,5000,5000
Odisha,Deogarh,Deogarh,NA,5000,5000
Odisha,Kendrapada,Derabish,NA,5000,5000
Odisha,Kendrapada,Kendrapara-Marsaghai,NA,10000,10000
Odisha,Jajpur,Dhanmandal,NA,7500,7500
Odisha,Jajpur,Panikoli,NA,5000,5000
Odisha,Dhenknal,Dhenknal,NA,5000,5000
Odisha,Ganjam,Ganjam_Aska,NA,10000,10000
Odisha,Jagatsinghpur,Jagatsinghpur,NA,7000,7000
Odisha,Kalahandi,Kalahandi-Junagarh,NA,12000,12000
Odisha,Kalahandi,Kalahandi-Koksara,NA,13000,13000
Odisha,Bargarh,Kendupali,NA,7500,7500
Odisha,Bargarh,Kendupali,NA,40000,40000
Odisha,Bargarh,Kendupali,NA,2500,2500
